Satisfaction Score,Churn Score,Tenure in Months,Monthly Charge,Total Long Distance Charges,Number of Referrals,CLTV,Age,Dependents,Internet Service,Gender,Churn
5,20,1,43.95,45.59,0,5684,38,0,1,Female,0
1,79,15,88.15,184.05,1,2524,21,0,1,Female,1
4,44,36,40.65,0.0,5,2564,19,1,1,Female,0
5,75,72,80.8,2525.04,8,4689,23,0,1,Male,0
3,41,58,45.35,0.0,7,5137,55,0,1,Female,0
4,77,3,107.95,142.5,0,3449,57,0,1,Male,0
5,41,46,24.9,848.7,1,2026,56,0,0,Male,0
5,71,12,79.95,480.72,0,2968,23,0,1,Male,0
4,26,22,93.2,1023.0,0,4093,50,0,1,Male,0
4,30,24,78.6,514.32,8,2939,63,1,1,Female,0
1,79,50,105.95,1044.0,0,5536,37,0,1,Male,1
4,80,64,104.65,1660.8,0,6443,47,0,1,Male,0
1,92,10,34.7,0.0,0,3244,67,0,1,Female,1
3,82,47,70.55,1266.65,1,4457,73,0,1,Female,1
1,95,47,80.35,1800.57,1,5915,73,0,1,Female,1
5,37,22,19.6,450.12,0,2203,62,0,0,Male,0
4,46,48,19.25,765.6,5,2282,43,0,0,Male,0
1,90,43,101.4,2134.52,0,3370,39,0,1,Male,1
3,26,70,49.85,0.0,8,5460,46,0,1,Female,0
1,75,11,73.5,427.68,0,4509,30,0,1,Male,1
4,61,1,24.9,0.0,0,5318,37,0,1,Female,0
4,42,33,19.8,412.83,0,2635,35,1,0,Female,0
3,53,40,93.4,113.2,0,3819,54,0,1,Female,0
3,66,15,105.35,62.85,6,2721,19,1,1,Female,0
5,23,54,90.05,1003.32,0,5232,69,0,1,Male,0
5,40,57,71.1,2745.12,2,5462,72,0,1,Male,0
1,71,1,82.3,33.41,0,4278,64,0,1,Female,1
4,56,41,70.2,564.16,0,5365,44,1,1,Male,0
4,32,8,20.05,125.28,0,2675,24,1,0,Female,0
1,81,59,106.75,2909.29,7,4508,47,0,1,Male,1
3,82,25,89.7,909.0,0,4078,72,0,1,Female,1
3,38,30,19.7,385.5,1,5045,24,1,0,Female,0
3,72,1,70.85,27.05,0,2874,51,0,1,Female,1
3,23,4,58.5,140.8,9,5605,28,1,1,Female,0
4,49,72,118.75,2962.08,1,5475,33,1,1,Female,0
5,54,13,20.4,609.96,0,2486,56,0,0,Male,0
1,93,1,74.35,14.02,0,2814,32,0,1,Male,1
3,70,68,80.65,1380.4,0,5914,52,0,1,Female,0
1,89,64,70.2,1863.68,0,6080,80,0,1,Female,1
3,65,56,101.05,290.64,0,5514,76,0,1,Male,0
3,65,35,20.1,411.25,7,4517,37,1,0,Male,0
3,66,1,75.9,44.56,0,3389,23,0,1,Male,1
5,29,32,64.85,496.64,0,4895,43,0,1,Male,0
2,77,1,69.5,41.2,0,3273,75,0,1,Male,1
5,71,15,19.65,259.2,1,5928,48,1,0,Male,0
1,95,20,73.65,107.4,1,5849,71,0,1,Male,1
5,75,72,97.7,2058.48,7,5406,26,0,1,Female,0
2,77,2,75.55,82.74,0,4320,32,0,1,Female,1
3,47,30,25.35,128.1,0,5915,61,1,0,Male,0
3,44,5,20.25,39.15,0,5064,31,0,0,Male,0
3,43,2,19.3,99.82,0,3009,34,0,0,Female,0
4,69,51,19.95,741.54,10,4057,60,1,0,Female,0
3,90,12,89.75,172.56,0,5671,57,0,1,Female,1
3,71,8,20.0,187.68,0,3087,55,0,0,Female,0
4,30,59,25.45,2499.83,0,4746,40,1,0,Female,0
3,95,1,76.45,3.84,0,3763,74,0,1,Male,1
3,67,48,65.65,2394.24,6,5427,27,0,1,Female,0
3,67,31,49.85,0.0,0,2539,35,0,1,Female,0
3,67,56,80.3,237.44,9,6203,56,0,1,Female,0
4,33,52,109.3,1081.6,0,5624,54,0,1,Male,0
1,88,46,101.0,246.56,1,2436,80,0,1,Male,1
5,52,60,80.55,966.6,0,4159,32,0,1,Female,0
3,79,61,101.15,2203.93,5,5177,35,0,1,Female,0
4,78,23,83.75,802.93,1,3585,30,1,1,Female,0
4,68,9,81.15,309.06,0,4544,43,0,1,Male,0
5,49,9,24.6,0.0,0,2323,24,0,1,Male,0
2,86,2,70.7,19.52,1,4559,28,0,1,Female,1
4,61,62,96.1,1891.62,4,6139,19,0,1,Male,0
3,72,1,20.2,42.15,0,3586,27,0,0,Male,0
1,90,6,105.3,164.64,1,4163,23,0,1,Female,1
5,37,23,104.45,1039.83,1,5883,80,0,1,Male,0
3,75,6,85.35,71.82,0,4694,61,0,1,Male,1
4,22,39,81.4,1440.27,0,4104,54,0,1,Male,0
5,61,3,90.4,94.44,0,5625,22,0,1,Male,0
3,26,14,59.45,596.96,4,5723,29,1,1,Female,0
4,77,46,19.4,583.28,9,4630,46,1,0,Female,0
2,74,13,84.45,284.44,0,5801,60,0,1,Female,1
3,64,39,100.0,674.31,9,5434,62,1,1,Male,0
3,22,71,47.6,0.0,1,4795,44,0,1,Female,0
4,49,42,20.65,976.5,0,5956,56,0,0,Female,0
3,74,45,112.2,1292.4,0,3091,57,0,1,Male,0
4,32,17,92.6,156.74,10,4756,46,0,1,Female,0
3,70,12,49.4,205.68,0,5007,20,0,1,Female,0
2,66,4,44.55,0.0,0,5605,44,0,1,Male,1
1,84,1,70.1,17.37,0,3706,43,0,1,Female,1
4,23,25,99.3,123.5,0,3847,21,0,1,Male,0
3,33,11,19.65,448.36,2,3372,48,1,0,Male,0
3,69,12,24.0,314.04,0,3705,56,1,0,Male,0
3,29,72,112.9,2181.6,6,5569,69,0,1,Male,0
3,26,32,85.65,1185.28,0,2383,51,0,1,Male,0
2,92,20,85.25,27.2,0,2414,49,0,1,Male,1
2,70,3,86.85,55.14,0,3561,73,0,1,Female,1
4,77,2,24.3,0.0,0,2515,19,0,1,Male,0
3,78,35,23.3,228.2,0,2416,38,0,0,Female,0
1,91,3,91.85,131.16,0,2704,53,0,1,Male,1
2,78,3,75.15,45.06,1,2270,33,0,1,Female,1
5,42,3,20.25,4.71,0,4050,19,0,0,Male,0
4,71,13,29.15,0.0,0,2876,33,0,1,Female,0
4,77,55,59.45,1989.35,5,5712,24,0,1,Male,0
1,92,4,75.35,116.44,0,2220,42,0,1,Female,1
4,57,46,81.0,2113.7,1,4280,37,1,1,Male,0
1,93,69,78.6,2027.22,0,6230,51,0,1,Male,1
1,92,32,80.35,47.68,0,5974,31,0,1,Male,1
4,51,65,109.3,861.25,4,6087,22,1,1,Female,0
4,46,72,109.15,853.2,2,4807,21,0,1,Female,0
5,39,29,51.6,1091.85,1,5495,77,0,1,Male,0
3,59,72,23.55,133.92,1,5901,46,0,0,Male,0
5,76,50,69.5,1352.0,0,4145,63,0,1,Male,0
5,41,12,95.7,588.0,0,5527,57,0,1,Male,0
4,46,35,46.35,0.0,7,4577,59,0,1,Female,0
5,76,42,100.4,529.2,1,3265,42,1,1,Female,0
4,43,64,90.6,2368.0,3,5240,44,1,1,Female,0
4,49,31,80.45,1149.17,0,4684,43,0,1,Male,0
3,22,58,99.25,2264.9,9,4098,20,1,1,Female,0
2,92,7,95.35,338.52,0,3077,46,0,1,Female,1
3,90,1,49.65,4.18,0,5338,60,0,1,Male,1
5,37,67,53.4,0.0,0,5990,61,0,1,Female,0
3,75,10,85.25,20.2,1,3573,26,0,1,Male,1
1,75,7,75.45,126.7,0,2872,35,0,1,Female,1
3,75,27,53.45,407.43,0,2191,53,0,1,Male,0
3,41,60,84.95,2997.6,0,4104,28,1,1,Male,0
3,39,49,61.75,1729.21,6,5511,35,1,1,Female,0
3,20,10,59.65,14.8,0,2385,36,0,1,Male,0
3,55,68,117.2,2221.56,0,4629,39,0,1,Male,0
1,73,9,45.15,140.58,0,3757,38,0,1,Female,1
3,52,22,19.25,778.8,0,2691,50,0,0,Female,0
3,48,60,65.85,2614.2,4,4053,35,0,1,Male,0
2,88,16,88.45,284.8,0,5186,44,0,1,Female,1
2,76,1,24.6,0.0,0,5768,39,0,1,Female,1
3,95,4,84.05,166.88,0,5552,21,0,1,Female,1
3,38,23,86.8,979.57,1,5788,66,0,1,Male,0
1,93,1,35.9,0.0,0,4747,54,0,1,Male,1
4,37,12,45.05,374.64,0,5624,50,0,1,Female,0
3,30,68,54.1,0.0,7,4601,42,0,1,Male,0
5,78,34,85.35,800.36,0,3818,26,0,1,Female,0
3,56,5,96.55,195.65,0,3787,40,0,1,Male,0
2,82,50,108.55,1471.5,1,4274,58,0,1,Female,1
4,42,24,19.7,729.84,8,4642,51,1,0,Female,0
3,59,30,74.65,126.6,0,5616,52,0,1,Female,0
5,43,51,25.5,1043.97,7,5447,59,0,0,Female,0
1,80,24,49.55,345.36,0,5005,35,0,1,Male,1
4,77,7,44.4,0.0,0,3410,75,0,1,Male,0
2,81,2,45.15,12.94,0,2699,56,0,1,Male,1
2,72,1,79.55,4.04,0,5593,59,0,1,Male,1
4,63,44,61.9,1657.92,1,4388,41,1,1,Male,0
4,56,21,71.05,364.35,0,5138,23,0,1,Female,0
4,58,57,53.75,0.0,0,5594,56,0,1,Male,0
4,47,34,49.8,166.26,0,2711,34,0,1,Male,0
5,57,8,74.6,10.24,0,2142,21,0,1,Female,0
4,34,50,70.8,1876.0,0,4798,25,1,1,Female,0
1,90,45,87.25,201.6,0,5269,29,0,1,Female,1
1,68,52,104.2,1955.2,0,5648,69,0,1,Male,1
3,45,57,19.5,2401.98,5,5864,33,1,0,Female,0
1,77,3,95.1,142.86,0,5861,55,0,1,Female,1
1,93,7,34.5,0.0,2,3520,61,1,1,Male,1
5,55,34,65.0,1539.52,0,5567,32,0,1,Female,0
5,70,2,45.55,83.8,0,4372,26,0,1,Female,0
2,76,10,89.8,168.8,0,5124,71,0,1,Male,1
3,62,52,91.6,937.04,3,6069,61,0,1,Male,0
3,56,12,56.3,207.24,5,2047,49,1,1,Male,0
4,54,2,46.6,3.74,0,5096,45,0,1,Male,0
3,34,51,81.0,2189.43,0,4121,54,0,1,Male,0
3,74,43,34.0,0.0,9,5409,34,0,1,Female,0
5,30,3,19.1,135.99,9,3863,32,1,0,Female,0
3,62,19,45.0,560.88,0,4519,53,0,1,Male,0
4,72,60,19.95,1808.4,7,5971,39,0,0,Male,0
4,24,46,104.4,269.56,0,4190,20,0,1,Female,0
3,30,47,90.5,551.78,10,3413,30,1,1,Male,0
3,85,4,95.45,126.44,0,3677,74,0,1,Female,1
3,91,37,76.25,997.15,0,5859,78,0,1,Female,1
5,40,12,74.75,222.24,0,3521,21,0,1,Male,0
4,60,37,68.1,1123.32,1,2873,64,0,1,Female,0
3,70,65,104.25,2678.0,4,5089,48,0,1,Male,0
5,24,46,20.1,685.86,4,3392,35,1,0,Male,0
3,64,72,110.6,311.04,7,5444,55,0,1,Male,0
3,22,71,109.6,3501.72,9,4564,53,0,1,Male,0
4,26,28,92.2,369.32,1,5116,37,1,1,Male,0
4,71,50,108.25,2079.0,3,4972,34,1,1,Male,0
4,60,72,112.75,2537.28,0,4927,30,0,1,Female,0
4,36,44,89.2,644.6,6,2925,72,0,1,Male,0
4,28,71,90.35,1307.82,1,6483,31,0,1,Male,0
1,74,57,100.6,2399.7,1,5247,73,0,1,Male,1
4,35,59,99.5,2424.31,3,4583,49,1,1,Male,0
3,63,39,51.05,587.34,3,3154,59,1,1,Female,0
1,84,14,105.95,78.82,3,5887,59,0,1,Female,1
5,63,11,20.9,27.72,3,5359,32,1,0,Female,0
5,57,20,91.0,777.0,2,3748,65,0,1,Female,0
4,41,22,76.0,433.84,0,2031,64,0,1,Female,0
3,91,1,79.6,19.32,0,2199,40,0,1,Male,1
3,72,26,80.5,628.16,0,2729,34,0,1,Male,1
4,41,40,105.75,888.0,5,4078,24,0,1,Female,0
5,72,22,20.15,1057.32,3,2173,37,0,0,Male,0
4,78,71,81.85,442.33,4,4090,25,0,1,Female,0
5,47,1,70.2,22.34,0,2422,69,0,1,Female,0
3,50,30,19.55,634.2,1,5203,57,0,0,Female,0
3,47,1,90.1,24.33,1,4142,20,1,1,Male,0
4,24,11,64.05,450.56,0,4171,19,0,1,Female,0
4,48,52,98.15,1616.68,6,5123,41,1,1,Female,0
3,45,21,65.35,339.36,0,2887,28,0,1,Male,0
3,53,49,97.95,784.98,7,4301,61,1,1,Male,0
5,36,64,25.65,1883.52,0,6469,76,0,0,Male,0
4,42,37,92.95,1438.93,1,3462,33,1,1,Male,0
5,21,1,19.5,8.02,0,3753,54,0,0,Male,0
5,53,62,24.8,1021.76,1,5105,60,1,0,Male,0
5,59,72,111.6,1741.68,0,5425,42,0,1,Female,0
2,82,57,44.85,0.0,1,5172,70,0,1,Male,1
3,32,54,44.1,0.0,0,6205,52,0,1,Female,0
3,34,72,68.15,1246.32,1,4613,56,0,1,Male,0
4,70,72,110.15,925.2,7,5065,54,0,1,Female,0
1,68,3,88.3,77.31,1,4486,68,0,1,Female,1
4,34,10,21.2,104.6,0,2066,52,0,0,Female,0
3,73,71,106.7,1041.57,0,4479,61,0,1,Male,0
1,91,41,98.4,1724.46,0,2169,77,0,1,Male,1
5,61,1,44.0,13.4,0,2785,62,0,1,Male,0
3,72,16,20.1,330.4,0,5052,35,0,0,Female,0
3,47,14,19.55,266.42,9,5620,56,0,0,Female,0
2,90,1,19.7,1.91,0,5707,42,0,0,Male,1
5,27,61,103.3,1099.83,6,5401,63,0,1,Female,0
3,23,58,97.8,2631.46,5,6019,66,0,1,Female,0
4,65,10,19.9,238.4,0,5811,56,0,0,Female,0
5,34,11,70.2,11.11,0,2535,51,0,1,Male,0
2,96,3,41.15,0.0,0,2314,67,0,1,Male,1
3,92,35,101.4,1389.15,0,3689,68,0,1,Male,1
3,61,56,100.55,2626.4,7,4847,28,0,1,Male,0
3,52,7,74.9,242.13,0,5335,55,0,1,Male,0
3,42,51,59.9,502.35,0,5233,59,0,1,Male,0
1,73,1,74.9,35.25,0,5919,26,0,1,Female,1
1,91,11,53.75,165.33,0,3407,60,0,1,Male,1
4,75,40,19.65,1041.2,0,3878,48,0,0,Female,0
3,26,10,78.15,380.3,4,3403,23,0,1,Female,0
4,80,7,69.9,216.93,0,4562,25,0,1,Female,0
3,32,57,70.35,2736.0,1,5779,32,0,1,Female,0
3,55,61,51.35,0.0,10,4159,38,0,1,Female,0
5,52,1,21.1,18.81,0,2810,31,0,0,Male,0
3,29,10,73.55,142.4,0,4434,23,1,1,Female,0
4,45,39,100.45,1479.66,0,2698,38,0,1,Male,0
3,36,12,69.85,324.84,0,5796,41,1,1,Male,0
4,21,41,20.0,413.69,0,5913,23,0,0,Female,0
3,53,5,20.5,123.05,0,5263,44,0,0,Female,0
4,77,57,19.6,1326.96,10,6064,54,0,0,Female,0
2,90,25,89.15,616.0,1,5853,36,0,1,Female,1
3,23,3,50.15,52.26,0,2085,20,0,1,Male,0
4,78,72,96.6,2022.48,10,5153,70,0,1,Female,0
4,22,9,49.2,63.99,0,2145,74,0,1,Male,0
4,42,66,104.25,2179.32,0,4915,43,0,1,Male,0
5,69,5,80.85,239.55,8,5109,20,1,1,Female,0
4,78,30,90.4,215.7,0,3171,62,0,1,Male,0
3,59,68,56.4,0.0,10,4556,47,1,1,Male,0
3,21,69,20.3,1422.78,0,4042,67,0,0,Male,0
3,74,63,19.95,2416.68,2,5151,56,0,0,Male,0
3,73,28,105.8,681.8,8,4174,67,0,1,Male,0
3,47,18,68.35,876.24,0,5993,22,0,1,Male,0
3,65,15,100.15,481.05,0,2565,64,0,1,Female,0
3,42,5,19.65,209.65,0,2878,62,0,0,Female,0
4,21,62,23.65,552.42,4,4671,49,0,0,Female,0
3,70,68,19.95,1343.0,4,6492,47,1,0,Male,0
5,46,66,25.3,2544.3,5,5617,59,1,0,Male,0
3,39,65,109.4,994.5,8,4452,68,0,1,Female,0
3,20,44,95.1,1439.68,10,2221,46,0,1,Female,0
3,41,46,74.8,1952.24,0,3395,19,0,1,Female,0
3,50,35,108.35,375.55,0,5139,72,0,1,Female,0
3,21,3,74.75,37.5,0,3319,48,0,1,Female,0
2,83,9,94.75,90.63,0,2893,34,0,1,Female,1
1,91,5,81.0,236.4,1,4287,68,0,1,Female,1
4,27,70,59.5,0.0,7,4031,21,0,1,Male,0
1,80,39,48.95,0.0,0,3080,27,0,1,Male,1
3,47,21,20.0,722.19,0,2366,59,0,0,Male,0
2,72,66,100.05,3290.1,6,4512,71,0,1,Male,1
4,39,2,20.45,92.0,0,4196,23,0,0,Female,0
3,42,20,98.55,464.4,0,3300,26,0,1,Male,0
3,30,69,92.15,1402.08,2,5817,56,1,1,Male,0
3,38,7,19.95,97.02,0,3331,47,0,0,Male,0
5,67,26,73.5,887.12,6,3596,23,0,1,Female,0
3,53,64,84.3,1937.28,0,5044,34,0,1,Male,0
5,60,8,43.55,56.16,0,3266,44,0,1,Male,0
2,79,1,45.1,15.28,0,4499,71,0,1,Male,1
3,60,7,19.85,246.82,2,3973,38,1,0,Female,0
4,40,38,102.6,180.5,7,5469,79,0,1,Male,0
2,73,15,55.7,609.9,0,4519,60,0,1,Female,1
3,56,3,70.7,75.12,0,2584,44,1,1,Male,0
3,37,7,75.35,176.19,0,4989,63,0,1,Female,0
4,36,48,29.5,0.0,6,3194,38,1,1,Female,0
4,66,23,69.5,632.27,6,2159,60,1,1,Female,0
1,93,57,95.25,1000.35,0,5789,39,0,1,Female,1
4,53,36,93.6,1487.88,3,2701,24,0,1,Male,0
1,74,15,76.0,672.9,0,4938,29,0,1,Male,1
3,70,3,95.4,51.03,0,2813,52,0,1,Female,0
2,93,41,111.95,1846.64,1,3711,66,0,1,Male,1
4,71,67,111.2,2744.32,6,6060,19,1,1,Male,0
5,71,2,54.35,51.62,0,4916,38,0,1,Female,0
3,79,41,20.65,346.04,9,5062,40,0,0,Female,0
5,63,24,21.05,1135.44,0,2050,55,0,0,Female,0
3,38,17,78.9,359.55,1,2362,53,0,1,Female,0
3,72,21,86.5,886.62,3,2036,50,0,1,Female,1
5,43,23,20.45,1061.91,0,3434,56,0,0,Male,0
1,81,5,50.35,93.45,0,4618,73,0,1,Male,1
4,25,29,87.8,974.98,1,4780,32,1,1,Female,0
1,83,51,93.8,1129.14,1,4788,80,0,1,Male,1
3,28,71,19.9,1577.62,0,5308,49,0,0,Male,0
3,60,35,19.15,270.9,0,4052,53,0,0,Male,0
3,27,1,48.45,16.42,0,5838,63,0,1,Female,0
3,91,1,19.65,6.08,0,5881,50,0,0,Female,1
3,89,19,73.85,34.01,0,2251,47,0,1,Male,1
4,56,52,20.85,2052.96,2,4886,47,1,0,Male,0
1,96,66,99.5,1904.76,1,4479,79,0,1,Male,1
3,25,33,20.1,800.91,2,3700,61,1,0,Female,0
4,40,41,25.25,1689.61,0,3461,23,0,0,Male,0
3,27,71,77.55,3461.96,10,5097,21,1,1,Female,0
5,57,12,20.3,231.36,3,5190,48,1,0,Female,0
3,24,21,79.2,304.71,7,4900,49,0,1,Female,0
3,48,30,64.5,79.2,0,5039,58,0,1,Male,0
3,61,50,25.2,1571.5,0,4015,79,0,0,Female,0
4,74,26,39.95,0.0,0,2715,32,1,1,Male,0
3,53,17,70.5,710.26,0,3650,53,0,1,Female,0
4,62,18,75.9,483.12,0,4668,51,0,1,Male,0
5,27,17,80.05,764.32,0,3443,62,0,1,Female,0
3,38,1,89.35,5.36,0,2432,38,1,1,Female,0
3,68,26,45.45,755.82,0,5451,28,0,1,Male,0
1,89,65,74.8,2630.55,1,5207,56,0,1,Male,1
4,74,72,109.7,1343.52,7,5945,42,0,1,Female,0
5,77,2,20.0,34.06,0,3922,46,0,0,Male,0
2,77,46,96.05,284.28,0,2712,57,0,1,Female,1
3,79,24,24.6,1135.92,0,5448,60,0,0,Male,0
5,77,47,19.65,307.38,7,2021,63,0,0,Male,0
3,77,37,61.45,1849.63,0,5447,45,1,1,Male,0
5,57,10,19.6,393.5,3,3778,23,0,0,Male,0
3,65,1,44.45,48.31,0,4879,63,0,1,Female,1
2,88,6,50.8,131.46,0,4713,51,0,1,Female,1
3,36,10,52.55,0.0,2,2578,43,0,1,Female,0
3,77,1,20.2,41.1,0,2710,19,0,0,Male,0
1,90,5,19.35,158.8,0,3864,53,0,0,Male,1
2,71,11,95.15,39.82,0,4074,67,0,1,Female,1
5,57,44,85.25,2181.08,0,2292,54,0,1,Male,0
4,26,69,106.4,1667.73,9,4328,59,0,1,Female,0
3,29,9,68.95,311.76,2,2452,47,0,1,Male,0
3,39,21,20.75,182.28,0,2143,38,1,0,Female,0
3,33,24,29.1,0.0,4,4636,25,0,1,Male,0
4,57,14,55.7,387.52,0,4978,52,0,1,Female,0
4,48,18,40.2,0.0,0,4624,28,0,1,Female,0
4,38,45,99.7,1059.3,0,3333,33,1,1,Male,0
4,26,26,19.6,980.2,0,3722,64,0,0,Male,0
3,30,1,50.15,38.33,0,4421,63,0,1,Female,0
3,76,14,46.35,0.0,1,5360,53,0,1,Male,1
5,48,61,94.35,1533.54,1,4676,55,0,1,Female,0
3,38,7,94.05,255.43,0,5545,20,0,1,Female,0
1,82,14,50.75,0.0,0,4883,38,0,1,Male,1
1,93,1,60.0,43.48,0,4531,64,1,1,Female,1
4,34,41,68.6,1514.13,0,4572,36,0,1,Female,0
4,72,35,20.1,893.2,0,3726,44,1,0,Female,0
3,43,6,49.15,208.2,1,4076,48,1,1,Male,0
1,91,1,45.7,12.8,3,3187,37,0,1,Female,1
5,43,48,20.15,1616.64,0,4399,41,0,0,Male,0
3,73,72,90.6,2517.84,1,4528,57,0,1,Male,0
3,29,2,90.35,9.3,10,5361,19,0,1,Female,0
4,53,10,20.0,191.0,0,4802,51,0,0,Male,0
3,32,59,83.25,1842.57,0,4094,48,0,1,Female,0
3,86,4,80.6,57.2,1,3080,46,0,1,Male,1
5,33,42,100.3,1078.98,0,3286,48,0,1,Male,0
5,66,68,107.15,2183.48,0,4324,80,1,1,Male,0
4,60,24,64.35,1116.96,0,5461,23,1,1,Female,0
2,87,9,44.2,377.28,0,2029,40,0,1,Female,1
3,44,3,20.0,93.18,3,3985,51,0,0,Male,0
3,71,39,100.55,574.08,0,3124,21,1,1,Male,0
1,70,3,63.6,10.92,0,3155,57,0,1,Female,1
3,32,72,66.85,1054.8,6,6264,56,0,1,Female,0
5,80,57,19.75,698.82,3,4235,43,1,0,Female,0
3,41,72,26.1,2442.24,2,5475,61,1,0,Male,0
3,59,61,62.15,0.0,1,6427,22,0,1,Male,0
3,47,24,52.5,0.0,1,3303,34,1,1,Female,0
4,42,32,73.6,632.32,1,4343,26,1,1,Female,0
3,78,72,84.7,610.56,0,4520,45,0,1,Female,0
5,63,72,103.65,782.64,0,6088,64,0,1,Male,0
3,26,49,55.35,2067.31,3,5601,29,0,1,Male,0
5,53,3,73.6,82.02,0,5510,29,0,1,Male,0
2,72,33,80.6,1095.27,1,3601,76,0,1,Female,1
5,76,19,44.9,655.69,0,5842,33,0,1,Female,0
5,74,60,89.55,426.0,0,5874,34,0,1,Male,0
3,33,71,89.85,2654.69,0,4994,69,0,1,Female,0
1,90,13,95.25,412.1,1,2982,67,0,1,Male,1
3,39,26,90.1,666.38,1,2068,46,0,1,Female,0
3,27,59,61.35,572.3,0,6250,46,0,1,Male,0
3,22,13,19.75,72.54,7,4314,45,1,0,Female,0
3,20,56,95.65,646.8,10,6335,80,0,1,Female,0
5,56,1,45.85,40.38,0,5715,71,0,1,Male,0
3,25,72,105.5,1962.0,8,5534,47,0,1,Male,0
3,25,31,81.15,1303.55,0,3031,60,0,1,Male,0
4,36,33,60.9,517.77,0,3009,38,0,1,Female,0
1,92,5,93.9,232.25,0,5435,44,0,1,Female,1
5,48,24,20.8,620.16,6,4654,19,1,0,Male,0
4,41,46,64.2,1702.92,1,4699,61,0,1,Female,0
4,40,25,55.1,1177.5,2,2499,34,1,1,Male,0
5,37,13,19.45,290.03,0,3799,39,0,0,Male,0
3,75,48,102.5,913.92,0,3262,43,0,1,Female,0
3,59,50,106.8,530.0,0,5746,66,0,1,Female,0
3,46,9,48.6,270.63,9,4562,31,0,1,Female,0
5,40,41,19.85,95.12,0,3523,53,0,0,Female,0
3,39,46,84.8,187.68,0,5756,28,1,1,Female,0
1,82,55,96.8,2605.9,0,4089,40,0,1,Male,1
4,65,31,25.0,0.0,0,4242,20,1,1,Male,0
3,20,70,65.2,2080.4,1,6316,50,0,1,Female,0
5,25,8,64.1,360.32,0,2804,19,0,1,Female,0
1,91,22,48.8,86.9,0,2270,32,0,1,Female,1
5,71,50,20.35,1349.0,9,6391,40,1,0,Male,0
1,93,3,50.15,40.62,1,3273,23,0,1,Male,1
5,53,8,54.75,244.24,0,5317,63,0,1,Male,0
3,43,13,54.15,255.19,5,4977,51,1,1,Female,0
1,85,26,83.95,371.8,0,5869,36,0,1,Male,1
5,58,8,19.5,105.68,10,3598,19,1,0,Female,0
3,76,39,35.55,0.0,0,3752,41,0,1,Male,0
5,20,4,20.05,167.92,0,3460,65,0,0,Female,0
1,87,1,55.8,26.22,0,5527,66,0,1,Female,1
3,75,26,92.4,977.34,0,5461,34,0,1,Male,0
5,56,46,55.65,93.38,0,2867,50,0,1,Female,0
3,73,14,20.4,204.54,0,4556,46,0,0,Female,0
2,65,39,89.55,1377.48,1,3849,50,0,1,Female,1
3,45,7,34.65,0.0,8,5996,37,1,1,Female,0
1,74,17,64.7,689.35,0,3022,20,0,1,Female,1
4,76,71,47.05,0.0,4,6302,59,0,1,Female,0
5,71,6,44.4,0.0,0,4611,75,0,1,Female,0
4,80,31,98.05,1131.19,3,4524,27,1,1,Male,0
3,53,43,94.35,1772.46,0,5845,50,0,1,Male,0
3,75,1,19.85,29.1,0,4840,63,1,0,Male,0
3,46,35,19.85,316.4,5,4177,37,1,0,Female,0
3,20,40,103.75,1141.6,0,3568,74,0,1,Female,0
3,20,72,94.65,2391.84,9,5943,39,0,1,Male,0
4,49,62,110.8,821.5,5,4306,42,1,1,Female,0
4,60,60,94.15,2882.4,1,6399,35,1,1,Female,0
4,39,50,79.6,2422.5,0,5592,39,0,1,Female,0
2,84,1,71.65,28.46,0,5674,65,0,1,Male,1
2,96,32,69.75,191.68,1,2356,37,0,1,Male,1
3,29,43,66.25,1122.3,1,2168,42,0,1,Male,0
4,60,5,20.35,40.05,0,3161,39,1,0,Male,0
5,40,72,20.7,496.8,9,4528,64,1,0,Female,0
1,91,2,80.2,52.94,0,2384,58,0,1,Male,1
3,52,72,25.1,2010.96,7,4185,49,1,0,Male,0
3,71,70,94.8,1852.9,7,5072,30,0,1,Female,0
4,79,42,79.35,567.42,0,2399,66,0,1,Male,0
3,91,6,80.5,216.72,1,5032,64,0,1,Female,1
5,39,49,98.35,1341.62,7,4325,52,1,1,Female,0
3,52,65,67.05,2566.85,6,5224,50,0,1,Male,0
3,59,8,66.05,268.32,0,4157,34,0,1,Female,0
1,89,12,96.05,536.52,0,2577,39,0,1,Male,1
3,79,72,68.4,1149.12,7,5504,52,1,1,Male,0
3,45,63,90.05,2541.42,0,4039,41,0,1,Female,0
4,78,47,24.55,736.96,3,3629,28,1,0,Male,0
4,45,30,110.45,394.8,0,4983,19,0,1,Female,0
4,61,4,64.4,4.4,0,3334,58,0,1,Female,0
3,70,56,85.65,1774.08,8,6500,71,0,1,Male,0
3,80,1,19.65,13.85,0,3075,40,0,0,Male,0
4,40,51,19.55,1476.96,1,5974,40,1,0,Male,0
5,59,49,79.3,813.4,9,6366,47,1,1,Female,0
4,23,10,75.05,179.8,0,3399,22,0,1,Male,0
4,60,12,20.4,278.4,0,4497,53,0,0,Female,0
1,92,1,20.15,33.58,0,4832,29,0,0,Male,1
5,61,6,19.55,44.1,0,5980,61,0,0,Female,0
2,69,16,50.15,228.16,0,4254,21,0,1,Female,1
5,38,48,19.85,1537.92,0,3779,63,0,0,Male,0
3,74,65,69.55,1132.95,10,5420,40,0,1,Male,0
4,47,21,75.9,662.55,6,3503,42,1,1,Male,0
